Country Name,Country Code,Indicator Name,Flag,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,
India,IND,Adjusted net enrolment rate. Primary. Female,f,,47.97842026,,,,,,,,,,,,,,,,,,,66.11141205,,,,,,,,,,77.90077972,78.75434875,79.28617859,89.22467041,,,,,,,,,,,,
India,IND,Adjusted net enrolment rate. Primary. Male,SE.PRM.TENR.MA,,72.65225983,,,,,,,,,,,,,,,,,,,89.52263641,,,,,,,,,,92.73535919,92.07028198,91.44680786,92.22991943,,,,,,,,,,,,
India,IND,Adjusted net enrolment rate. Primary. Total,SE.PRM.TENR,,60.82870865,,,,,,,,,,,,,,,,,,,78.24938202,,,,,,,,,,85.63842773,85.71408081,85.65255737,90.7999115,,,,99.09380341,99.57985687,98.9969101,99.28263855,98.86595154,,,,
India,IND,Adjusted net intake rate (%). Primary. Female,UIS.NIRA.1.F,,53.92277145,,,,,,,,,,,,,,,,,,,74.1115799,,,,,,,,,,85.16072845,86.14147949,87.62776184,98.77639771,,,,96.55265045,97.71932983,98.13459015,100,98.33396149,,,,
India,IND,Adjusted net intake rate (%). Primary. Male,UIS.NIRA.1.M,,77.57431793,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,100,100,100,,,,99.30983734,97.82115936,97.00154877,98.31511688,96.26542664,,,,
India,IND,Adjusted net intake rate (%). Primary. Total,UIS.NIRA.1,,66.21450806,,,,,,,,,,,,,,,,,,,87.53161621,,,,,,,,,,92.92635345,93.40653992,94.12042999,99.41883087,,,,98.00164795,97.77285767,97.53869629,99.11351776,97.24517059,,,,
India,IND,Adult (15+) literacy rate (%). Female,SE.ADT.LITR.FE.ZS,,,,,,,,,,,,25.67625237,,,,,,,,,,33.72952652,,,,,,,,,,47.84209824,,,,,50.82375717,,,,,,,,,
India,IND,Adult (15+) literacy rate (%). Male,SE.ADT.LITR.MA.ZS,,,,,,,,,,,,54.84101868,,,,,,,,,,61.64191818,,,,,,,,,,73.4118576,,,,,75.19190216,,,,,,,,,
India,IND,Adult (15+) literacy rate (%). Total,SE.ADT.LITR.ZS,,,,,,,,,,,,40.76359177,,,,,,,,,,48.22207642,,,,,,,,,,61.01455688,,,,,62.75447464,,,,,,,,,
India,IND,Adult illiterate population. % female,UIS.LPP.AG15T99,,,,,,,,,,,,60.34532547,,,,,,,,,,61.60367203,,,,,,,,,,64.80553436,,,,,65.17435455,,,,,,,,,
India,IND,Adult illiterate population. Female,UIS.LP.AG15T99.F,,,,,,,,,,,,155287344,,,,,,,,,,177301040,,,,,,,,,,176988176,,,,,186087680,,,,,,,,,
India,IND,Adult illiterate population. Male,UIS.LP.AG15T99.M,,,,,,,,,,,,102043856,,,,,,,,,,110508176,,,,,,,,,,96118384,,,,,99435168,,,,,,,,,
India,IND,Adult illiterate population. Total,UIS.LP.AG15T99,,,,,,,,,,,,257331200,,,,,,,,,,287809216,,,,,,,,,,273106560,,,,,285522848,,,,,,,,,
India,IND,Africa Dataset: Average class size. All classes. Primary. Public,UIS.AFR.CS.1.PU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
